Y,X,Type,Hoshlds,GeoUID,AP(Cns),ShapeAr,CMA_UID,Popultn,CSD_UID,Dwllngs,PR_UID,CD_UID,ReginNm,Ar(skm),id
5043142.89754084,300038.624563608,CT,1218,4620048.0000000000,1998,0.1402700000,"24462",2214,"2466023",1330,"24","2466",Montr_al,0.1402700000,
5042792.241,299933.516,CT,818,4620049.0000000000,1319,0.1641900000,"24462",1312,"2466023",987,"24","2466",Montr_al,0.1641900000,
5045153.88282794,297093.969503432,CT,1784,4620207.0000000000,3295,0.2558100000,"24462",3331,"2466023",1855,"24","2466",Montr_al,0.2558100000,
5038526.70443957,298701.732576111,CT,811,4620067.0000000000,1726,0.1466200000,"24462",1817,"2466023",862,"24","2466",Montr_al,0.1466200000,
5038886.79984305,299046.282803825,CT,668,4620068.0000000000,2128,0.1609100000,"24462",2053,"2466023",705,"24","2466",Montr_al,0.1609100000,
5038782.18500237,300740.189896055,CT,0,4620071.0000000000,0,0.4505200000,"24462",0,"2466023",0,"24","2466",Montr_al,0.4505200000,
5038628.09089435,299433.728206932,CT,1373,4620077.0000000000,2364,0.4178500000,"24462",2967,"2466023",1468,"24","2466",Montr_al,0.4178500000,
5037771.31396761,300896.600283153,CT,1791,4620072.0000000000,3513,2.5843400000,"24462",3585,"2466023",1933,"24","2466",Montr_al,2.5843400000,
5038381.54227091,300063.251187555,CT,1115,4620073.0000000000,1239,0.3300100000,"24462",1848,"2466023",1238,"24","2466",Montr_al,0.3300100000,
5037378.66751287,299864.924504239,CT,1694,4620074.0000000000,3688,0.4005300000,"24462",3610,"2466023",1868,"24","2466",Montr_al,0.4005300000,
5037665.09754881,299639.210005887,CT,1427,4620075.0000000000,2746,0.3091800000,"24462",2797,"2466023",1504,"24","2466",Montr_al,0.3091800000,
5037884.8584832,299432.751879335,CT,1577,4620076.0000000000,2645,0.3689100000,"24462",2989,"2466023",1768,"24","2466",Montr_al,0.3689100000,
5037553.5765084,298435.407981401,CT,2567,4620079.0000000000,4480,0.5959300000,"24462",4599,"2466023",2780,"24","2466",Montr_al,0.5959300000,
5038153.54275355,298371.366037865,CT,397,4620080.0000000000,825,0.0900500000,"24462",780,"2466023",431,"24","2466",Montr_al,0.0900500000,
5042345.69368529,298367.834634601,CT,1648,4620139.0000000000,3159,0.2204600000,"24462",3174,"2466023",1887,"24","2466",Montr_al,0.2204600000,
5042855.96760781,298568.94303209,CT,681,4620140.0000000000,1380,0.1180700000,"24462",1420,"2466023",733,"24","2466",Montr_al,0.1180700000,
