GeoUID,geometry
4620581.02,POINT (3045.0564036735004 50582.8408578243)
4620290.09,POINT (2970.90031512475 50551.0961352273)
4620580.01,POINT (3051.4361734 50596.182515249995)
4620014.01,POINT (3013.78516165924 50464.1005461857)
4620112.02,POINT (2940.16812708526 50390.2046606541)
4620580.02,POINT (3052.65016370249 50611.8371068885)
4620055.01,POINT (3005.7999711280004 50408.334544044694)
4620094.02,POINT (2959.79657397709 50355.3484171401)
4620014.02,POINT (3009.98176231438 50470.571259144395)
4620112.01,POINT (2934.24718304984 50394.005441571804)
4620055.02,POINT (3013.1867986220805 50398.286587922)
4620190.02,POINT (3002.63083028555 50479.9323024186)
4620290.05,POINT (2964.13565424441 50539.325574738104)
4620187.01,POINT (3002.22748759968 50450.2915012115)
4620127.01,POINT (2953.36926064138 50399.48125245311)
4620127.02,POINT (2968.4113584626098 50398.2321629042)
4620521.05,POINT (2783.4740241561103 50387.4361660527)
4620264.02,POINT (2945.21584051777 50460.223435526605)
4620264.01,POINT (2936.43685719318 50463.98938310541)
4620585.01,POINT (3044.5877108 50607.247909000005)
4620585.02,POINT (3032.33531663078 50571.7033304765)
4620268.02,POINT (2913.11499145 50437.653152750005)
4620268.01,POINT (2912.9908886765297 50441.943390630906)
4620268.03,POINT (2925.64486767167 50437.0639249116)
4620120.01,POINT (2923.1120011870303 50390.6456400871)
4620120.02,POINT (2929.03135821781 50387.613850892805)
4620470.03,POINT (2741.95007892871 50338.292230500505)
4620453.01,POINT (2805.17942387626 50355.075239581805)
4620513.02,POINT (2781.36542216389 50396.1323601979)
4620515.01,POINT (2722.37748 50355.19419)
4620520.04,POINT (2819.0858483714696 50387.1203301687)
4620453.02,POINT (2803.8967220532104 50367.68264989331)
4620410.03,POINT (2922.07486075069 50422.3038972421)
4620417.01,POINT (2891.2713600572297 50425.386136824)
4620513.01,POINT (2788.93031775522 50404.498083022896)
4620580.03,POINT (3058.8566142632103 50614.5368070601)
4620515.02,POINT (2745.21392044684 50355.8117982306)
4620515.03,POINT (2755.2045748 50356.899795749996)
4620515.04,POINT (2749.61514135613 50361.5076939277)
4620520.03,POINT (2827.975249 50394.1091975)
4620512.03,POINT (2790.07075509129 50416.1649229371)
4620512.04,POINT (2786.1493591867998 50410.88928775991)
4620322.03,POINT (2967.18418417033 50318.0542605811)
4620470.04,POINT (2758.30583304805 50347.6043006662)
4620470.05,POINT (2770.76916336131 50356.717536493205)
4620421.02,POINT (2912.91726645265 50431.1260143614)
4620291.01,POINT (2999.3439439886 50575.27152572571)
4620421.01,POINT (2910.3331218904 50433.8442541271)
4620521.04,POINT (2796.95114308747 50395.7000094281)
4620521.06,POINT (2799.9120339123997 50388.8089893665)
4620521.07,POINT (2800.887475991 50377.816809427895)
4620200.0,POINT (2983.7887124050603 50473.0439760222)
4620243.0,POINT (2960.56540585357 50453.9653786023)
4620270.0,POINT (2924.5416600624003 50457.373091698995)
4620027.0,POINT (3011.26096092468 50449.8949715206)
4620105.0,POINT (2948.82961142122 50374.260649843105)
4620012.01,POINT (3016.8269225791105 50489.3605086319)
4620604.05,POINT (2958.44209321962 50502.663097531)
4620610.05,POINT (2957.91646515888 50532.4105031012)
4620099.0,POINT (2944.47390875623 50361.2839263291)
4620610.06,POINT (2960.19533876414 50529.3422675171)
4620078.0,POINT (2989.48771326835 50381.387737019206)
4620144.0,POINT (2993.41623486032 50424.504969131)
4620145.0,POINT (2995.40162 50428.681789999995)
4620146.0,POINT (2989.04390530458 50431.355331723404)
4620147.0,POINT (2990.6997336985505 50433.8317587771)
4620148.0,POINT (2992.37144915129 50436.750767194)
4620150.0,POINT (2998.0540363763403 50437.7067690444)
4620151.0,POINT (2994.0567159025204 50438.8428241688)
4620152.0,POINT (2995.9785113015005 50441.6769574214)
4620153.0,POINT (2997.3446168362098 50443.3691479741)
4620154.0,POINT (2991.7300117231202 50443.651143109)
4620155.0,POINT (2989.97406182036 50441.126534375)
4620156.0,POINT (2988.70439528004 50439.247806804306)
4620157.0,POINT (2986.81578881417 50436.394954315205)
4620158.0,POINT (2985.15436306889 50433.901547721805)
4620159.0,POINT (2983.4955960933703 50431.3870473827)
4620160.0,POINT (2982.01623186571 50429.10278354341)
4620161.0,POINT (2980.83280166858 50425.5045653642)
4620162.0,POINT (2978.8290136929004 50426.5999256465)
4620081.0,POINT (2979.6404237768 50377.3060489042)
4620218.0,POINT (2959.68700496567 50439.004226245204)
4620082.0,POINT (2975.37036902794 50371.9831801877)
4620004.0,POINT (3028.7863872378302 50513.0183032338)
4620024.0,POINT (3012.87026578866 50445.4456525123)
4620025.0,POINT (3015.75827279073 50452.394885282)
4620026.0,POINT (3013.11482706023 50453.966239547095)
4620028.0,POINT (3009.63546442914 50446.273460402095)
4620083.0,POINT (2979.7158967612604 50369.090366411605)
4620224.0,POINT (2941.5646079665303 50436.030329403)
4620195.01,POINT (2994.72948901464 50486.5738109933)
4620088.0,POINT (2975.89163428535 50353.791296217496)
4620089.0,POINT (2978.03629557784 50347.362124340005)
4620090.0,POINT (2971.60789969215 50342.512818051604)
4620029.0,POINT (3008.71935454676 50450.988931638494)
4620030.0,POINT (3007.25536148017 50456.64572305221)
4620031.0,POINT (3004.6788860578604 50448.3819347175)
4620032.0,POINT (3001.95997281364 50441.6142349338)
4620091.0,POINT (2966.8894643000003 50338.734659249996)
4620225.0,POINT (2939.925973023 50441.7545699271)
4620092.0,POINT (2970.27471166649 50347.8214818484)
4620232.0,POINT (2954.20209876909 50439.7014589595)
4620233.0,POINT (2955.5734388532906 50444.7946235656)
4620093.0,POINT (2967.18272006953 50353.632086583704)
4620234.0,POINT (2955.91095683322 50446.8087785568)
4620235.0,POINT (2951.43178216433 50448.00777756591)
4620237.0,POINT (2944.03315063841 50450.257073768706)
4620238.0,POINT (2945.3533562970097 50452.664238175304)
4620169.0,POINT (2970.8788943364902 50425.9290287619)
4620170.0,POINT (2972.0301230783703 50427.096209867195)
4620107.0,POINT (2958.4205643004498 50373.6354983277)
4620178.0,POINT (2986.06328354296 50443.7375128459)
4620108.0,POINT (2958.39326932555 50377.1464054683)
4620226.0,POINT (2941.1824308763203 50447.4905078783)
4620109.0,POINT (2951.50401660998 50381.5430634138)
4620227.0,POINT (2945.02687794721 50445.9107952663)
4620228.0,POINT (2947.45795156661 50444.912339827504)
4620229.0,POINT (2948.8376107524 50441.9334929037)
4620230.0,POINT (2949.8779122784504 50443.9158124812)
4620231.0,POINT (2952.18965343125 50442.9602935183)
4620125.0,POINT (2951.73974249823 50414.2681964337)
4620130.0,POINT (2988.3683722656097 50408.2571723077)
4620131.0,POINT (2989.31280702992 50410.416671066705)
4620132.0,POINT (2990.31144392299 50412.808936837)
4620133.0,POINT (2992.05040923995 50416.805314083)
4620134.0,POINT (2993.00511340153 50419.173943970905)
4620135.0,POINT (2989.0143522458 50422.076371679905)
4620136.0,POINT (2987.3831016170698 50419.5172315982)
4620137.0,POINT (2986.8613784721597 50416.49881086461)
4620138.0,POINT (2982.0173115253 50418.7651467746)
4620206.0,POINT (2972.8666872466797 50454.83449118031)
4620034.0,POINT (3006.84104755959 50439.9682216503)
4620035.0,POINT (3002.9157497248702 50436.836268442006)
4620036.0,POINT (3001.7400826800704 50434.4622236629)
4620244.0,POINT (2959.06896426249 50450.9705372558)
4620258.0,POINT (2963.19297855892 50484.2737097074)
4620290.03,POINT (2968.26359545 50543.867072249996)
4620129.02,POINT (2986.37861533486 50404.300751595)
4620417.02,POINT (2896.4846362132103 50417.7460564052)
4620215.0,POINT (2970.0058874615997 50436.48082460921)
4620110.0,POINT (2948.22526495168 50378.71937645681)
4620051.0,POINT (2998.41762586537 50419.576534526896)
4620052.0,POINT (3000.42277893076 50419.7275414239)
4620053.0,POINT (3002.88671958138 50416.685448178796)
4620054.0,POINT (3005.0867622869005 50415.2525813087)
4620098.0,POINT (2932.22891599085 50355.2414176057)
4620111.0,POINT (2938.45649607307 50384.609630355)
4620015.0,POINT (3020.8726893594903 50465.6086998141)
4620610.03,POINT (2949.527756005 50531.919880843794)
4620115.01,POINT (2954.17398048516 50387.1980338789)
4620605.05,POINT (2977.62719395249 50497.1437766529)
4620094.01,POINT (2954.40740588087 50358.8904265769)
4620190.01,POINT (3006.89549947551 50486.0439169918)
4620416.01,POINT (2872.3499782289 50424.329834764496)
4620416.02,POINT (2875.39107843218 50419.6158710487)
4620418.0,POINT (2908.69191334607 50411.630264901796)
4620419.0,POINT (2899.36309945 50420.334722499996)
4620415.06,POINT (2879.99250162882 50384.8538650974)
